"","LOCALE","HSI","ADM_RATE_ALL","PCIP10","PCIP15","PCIP22","PCIP23","PCIP26","PCIP29","PCIP42","PCIP51","PCIP52","CIP05CERT1","CIP12CERT1","CIP15BACHL","CIP39BACHL","CIP50BACHL","UGDS_UNKN","NPT41_PRIV","NPT4_048_PRIV","NUM4_PUB","INEXPFTE","AVGFACSAL","PFTFAC","C150_4_POOLED","C150_4_WHITE","C150_4_BLACK","C150_4_AIAN","C150_4_2MOR","C150_4_UNKN","RET_FT4","CDR3","WDRAW_2YR_TRANS_YR2_RT","MD_INC_UNKN_ORIG_YR2_RT","NOPELL_ENRL_4YR_TRANS_YR2_RT","NOT1STGEN_UNKN_ORIG_YR2_RT","ENRL_ORIG_YR3_RT","HI_INC_COMP_ORIG_YR3_RT","NOT1STGEN_WDRAW_ORIG_YR3_RT","COMP_4YR_TRANS_YR4_RT","COMP_2YR_TRANS_YR4_RT","MD_INC_COMP_ORIG_YR4_RT","NOPELL_WDRAW_ORIG_YR4_RT","FEMALE_COMP_4YR_TRANS_YR6_RT","MALE_COMP_4YR_TRANS_YR6_RT","WDRAW_2YR_TRANS_YR8_RT","MD_INC_COMP_4YR_TRANS_YR8_RT","MD_INC_WDRAW_ORIG_YR8_RT","PELL_COMP_4YR_TRANS_YR8_RT","FIRSTGEN_WDRAW_2YR_TRANS_YR8_RT","NOTFIRSTGEN_RPY_1YR_RT","IND_RPY_3YR_RT","NOTFIRSTGEN_RPY_5YR_RT","IND_RPY_7YR_RT","INC_PCT_LO","INC_PCT_M2","APPL_SCH_PCT_GE2","DEP_INC_AVG","IND_DEBT_MDN","GRAD_DEBT_MDN10YR","DEP_INC_N","IND_RPY_7YR_N","LN_MEDIAN_HH_INC","COUNT_WNE_INDEP1_P10","GRAD_DEBT_MDN10YR_SUPP","C150_4_POOLED_SUPP","D150_4_ASIAN","D150_4_AIAN","GRADS","OMACHT6_PTFT","OMAWDP6_PTFT","OMACHT8_PTFT","RET_FT4_POOLED","RET_FT4_POOLED_SUPP","C100_4_POOLED","C100_4_POOLED_SUPP","C150_4_PELL","D150_4_LOANNOPELL","C150_4_NOLOANNOPELL","OMENRAP8_FTNFT_POOLED_SUPP","OMENRUP8_PTNFT_POOLED_SUPP","POOLYRSOM_NOTFIRSTTIME","PLUS_DEBT_INST_NOCOMP_MD","DBRR1_FED_GRCOMP_NUM","DBRR1_FED_GRCOMP_DEN","DBRR1_FED_GRCOMP_RT","DBRR4_PP_UGNOCOMP_RT","DBRR10_PP_UG_N","BBRR1_FED_UG_FBR","BBRR1_FED_UG_PAIDINFULL","BBRR2_FED_UGUNK_N","BBRR2_FED_UG_DFR_SUPP","OTHEREXPENSE_OFF","ENDOWEND","OMAWDP8_PELL_PARTTIME","OMAWDP8_PELL_FTFT_POOLED","OMENRUP8_PELL_FTFT_POOLED","OMENRYP8_PELL_FTNFT_POOLED","OMAWDP8_PELL_FTT_POOLED","OMENRUP_PELL_FTT_POOLED","OMENRUP_PELL_PT_POOLED","OMAWDP8_PELL_PTNFT_POOLED_SUPP","OMENRUP_PELL_FTT_POOLED_SUPP","BBRR3_FED_UGUNK_N","MD_EARN_WNE_INC2_P10","STUFACR","IRPS_NRA","IRPS_UNKN","BBRR4_FED_UGUNK_N","ADM_RATE_SUPP","OMAWDP8_NOPELL_FIRSTTIME","Ranking"
"1","21",0,0.103,0,0.0183,0,0.0092,0.0917,0,0.0581,0,0.0734,"0","0","1","0","1",0.0509,8566,7509,210.8,31563,11334,0.9111,0.9202,0.9179,0.8095,1,0.9565,1,0.9568,0,0.0455377443321,0.168461750898,0.100695222510593,0.081462974438,0.0729962283011695,0.743818144454466,0.114931482363424,0.0718237027245205,0.0299520537658571,0.728658829825833,0.0843342752448696,0.102263554769342,0.116067203493447,0.0468862349664348,0.133694167046056,0.109594675492444,0.105777682876778,0.0590409121584,0.778250280692537,0.49545289743,0.84700622360339,0.57869048222,0.2535211268,0.1314553991,0.756330841805634,102120.223994717,18139.987012987,143.122467583153,623.018867924528,34.3255813953488,11.25,44.3,143.122467583153,0.9202,28,0,3,0,0.335272941176471,0,0.9701,0.9701,0.8147,0.8147,0.8545,11,0.9188,0,0.294733333333333,2,25452.5915492958,10814350.3617021,10339970.5957447,1.02234227386441,0.71499367180161,34,0.361052631578947,0.145263157894737,46.9333333333333,0.14,1650,865475000,0.428943037974684,0.8966,0.0575,0,0.8966,0.0575,0.358239130434783,0.532033333333333,0.0575,58.5316455696203,119361,8,0.0305,0.0305,58.5696202531646,0.1035,0.8971,6
"2","21",0,0.1367,0,0,0,0,0.0332,0,0,0,0,"0","0","0","0","1",0.0649,16494,19605,210.8,34419,14397,0.8992,0.9321,0.9059,1,1,0.8824,1,0.9744,0,0.0455377443321,0.168461750898,0.100695222510593,0.081462974438,0.0729962283011695,0.743818144454466,0.114931482363424,0.0718237027245205,0.0299520537658571,0.728658829825833,0.0843342752448696,0.102263554769342,0.116067203493447,0.0468862349664348,0.133694167046056,0.109594675492444,0.105777682876778,0.0590409121584,0.778250280692537,0.49545289743,0.84700622360339,0.57869048222,0.137254902,0.1176470588,0.756330841805634,102120.223994717,18139.987012987,265.041606635469,623.018867924528,34.3255813953488,11.2700004577636,44.3,265.041606635469,0.9321,43,1,143.478260869565,0,0.335272941176471,0,0.9745,0.9745,0.8829,0.8829,1,38,0.8874,0.0984311111111111,0.294733333333333,4,25452.5915492958,10814350.3617021,10339970.5957447,1.02234227386441,0.71499367180161,83,0.361052631578947,0.145263157894737,46.9333333333333,0.07296137339056,3636,328567827,0.428943037974684,0.9231,0.0192,0,0.9231,0.0192,0.358239130434783,0.532033333333333,0.0192,58.5316455696203,66251.0652173913,8,0.0185,0.0278,58.5696202531646,0.1336,0.9586,25
"3","11",0,0.3669,0,0,0,0.0274,0.1224,0,0.0633,0,0,"0","0","0","0","1",0.0162,13146,14963,210.8,21254,11317,0.7558,0.8279,0.8444,0.8846,0.718054961832061,0.8333,0.9167,0.9257,0.016,0.0455377443321,0.168461750898,0.100695222510593,0.081462974438,0.0729962283011695,0.805031446541,0.114931482363424,0.075409836066,0.0299520537658571,0.86170212766,0.0843342752448696,0.102263554769342,0.116067203493447,0.0468862349664348,0.133694167046056,0.109594675492444,0.080536912752,0.0590409121584,0.8394495413,0.49545289743,0.84700622360339,0.57869048222,0.2112676056,0.1690140845,0.860915493,102120.223994717,18139.987012987,243.838278104632,623.018867924528,13,11.1499996185302,44.3,243.838278104632,0.8279,86,0,143.478260869565,0,0.335272941176471,0,0.9018,0.9018,0.7837,0.7837,0.9107,103,0.8404,0.0723,0.294733333333333,2,21000,10814350.3617021,10339970.5957447,1.02234227386441,0.71499367180161,104,0.361052631578947,0.145263157894737,27,0.18347107438017,1923.83290488432,448094636,0.428943037974684,0.8673,0.0265,0,0.8673,0.0265,0.358239130434783,0.532033333333333,0.0265,30,73124,9,0.0154,0.0615,30,0.394,0.8495,40
"4","21",0,0.137,0,0,0.0038,0.0303,0.0682,0,0.0909,0.0114,0.0871,"0","0","0","0","1",0.0479,15922,14276,210.8,24570,11852,0.8672,0.8692,0.8083,0.6364,1,0.8919,0.9286,0.9338,0.035,0.0455377443321,0.168461750898,0.100695222510593,0.081462974438,0.0729962283011695,0.767857142857,0.114931482363424,0.0718237027245205,0.0299520537658571,0.728658829825833,0.0843342752448696,0.102263554769342,0.116067203493447,0.0468862349664348,0.133694167046056,0.109594675492444,0.105777682876778,0.0590409121584,0.8225806452,0.4814814815,0.8079096045,0.5357142857,0.2777777778,0.1388888889,0.756330841805634,100195.275,18139.987012987,177.577876445764,200,28,11.1599998474121,23,177.577876445764,0.8692,17,0,143.478260869565,0,1,0,0.9045,0.9045,0.7906,0.7906,0.8125,45,0.8457,0,0.294733333333333,2,25452.5915492958,10814350.3617021,10339970.5957447,1.02234227386441,0.71499367180161,42,0.361052631578947,0.145263157894737,46.9333333333333,0.14285714285714,1300,144364639,1,0.9143,0.0857,0,0.9143,0.0857,0.1667,0.532033333333333,0.0857,58.5316455696203,64180,10,0.0099,0.1485,58.5696202531646,0.184,0.8313,36
"5","21",0,0.074,0,0,0,0.0459,0.1633,0,0.0408,0,0,"0","0","0","0","1",0.0348,6945,7498,210.8,39903,13699,0.942,0.9382,0.9408,0.8889,1,0.9143,0.931,0.9709,0,0.0455377443321,0.168461750898,0.100695222510593,0.081462974438,0.0729962283011695,0.743818144454466,0.114931482363424,0.0718237027245205,0.0299520537658571,0.728658829825833,0.0843342752448696,0.102263554769342,0.116067203493447,0.0468862349664348,0.133694167046056,0.109594675492444,0.105777682876778,0.0590409121584,0.778250280692537,0.49545289743,0.84700622360339,0.57869048222,0.3698113208,0.1849056604,0.756330841805634,102120.223994717,18139.987012987,124.908808375164,623.018867924528,34.3255813953488,11.1599998474121,44.3,124.908808375164,0.9382,58,0,143.478260869565,0,0.335272941176471,0,0.96,0.96,0.869,0.869,0.9091,11,0.9417,0.0455,0.294733333333333,4,29038,10814350.3617021,10339970.5957447,1.02234227386441,0.71499367180161,22,0.361052631578947,0.145263157894737,46.9333333333333,0.12903225806452,1500,2321097000,0.428943037974684,0.9302,0.0349,0,0.9302,0.0349,0.358239130434783,0.532033333333333,0.0349,58.5316455696203,77768,7,0.0228,0.1461,58.5696202531646,0.0702,0.9303,4
"6","21",0,0.32,0,0,0.0164,0.0574,0.2172,0,0.0861,0,0.0287,"0","0","0","0","1",0.0194,13300,11886,210.8,26738,11682,0.75,0.8318,0.8873,0.8571,0.718054961832061,0.92,0.88,0.9286,0.009,0.0455377443321,0.168461750898,0.100695222510593,0.081462974438,0.0729962283011695,0.738095238095,0.114931482363424,0.106796116505,0.0299520537658571,0.728658829825833,0.0843342752448696,0.102263554769342,0.116067203493447,0.0468862349664348,0.133694167046056,0.109594675492444,0.105777682876778,0.0590409121584,0.778250280692537,0.49545289743,0.84700622360339,0.57869048222,0.1912568306,0.1530054645,0.756330841805634,123458.37725,18139.987012987,143.122467583153,167,14,11.2200002670288,44.3,143.122467583153,0.8318,40,0,20,0,0,0,0.9287,0.9287,0.7678,0.7678,0.8261,52,0.8934,0.0984311111111111,0.294733333333333,4,25452.5915492958,10814350.3617021,10339970.5957447,1.02234227386441,0.71499367180161,56,0.361052631578947,0.145263157894737,13,0.21857923497268,1923.83290488432,375584840,0.428943037974684,0.875,0.0833,0.00231444444444444,0.875,0.0833,0.358239130434783,0.532033333333333,0.0833,58.5316455696203,77190,10,0.0865,0.0962,58.5696202531646,0.2791,0.8777,28
"7","42",0,0.7892,0,0,0,0,0,0,0,0,0,"0","0","0","0","0",0.0228,19672,18353,210.8,15005,9461,0.9825,0.8546,0.8644,1,1,0.6667,1,0.9421,0.012,0.0455377443321,0.168461750898,0.100695222510593,0.081462974438,0.0729962283011695,0.743818144454466,0.114931482363424,0.0718237027245205,0.0299520537658571,0.728658829825833,0.0843342752448696,0.102263554769342,0.116067203493447,0.0468862349664348,0.133694167046056,0.109594675492444,0.105777682876778,0.0590409121584,0.778250280692537,0.49545289743,0.84700622360339,0.57869048222,0.207436415886458,0.1710526316,0.2697368421,102120.223994717,18139.987012987,190.829956777538,623.018867924528,34.3255813953488,11.079999923706,44.3,190.829956777538,0.8546,0,0,143.478260869565,0,0.335272941176471,0,0.9012,0.9012,0.8,0.8,0.8889,28,0.75,0.2143,0.294733333333333,4,25452.5915492958,10814350.3617021,10339970.5957447,1.02234227386441,0.71499367180161,21,0.361052631578947,0.145263157894737,46.9333333333333,0.13793103448276,5322,25271321,0.428943037974684,0.8667,0.0333,0,0.8667,0.0333,0.358239130434783,0.532033333333333,0.0333,58.5316455696203,53669,11,0,0.0513,58.5696202531646,0.8473,0.7619,40
"8","21",1,0.5711,0,0,0,0.0702,0.0871,0,0.0899,0,0.2051,"0","0","0","0","1",0.0068,18718,19586,210.8,13814,8319,0.6973,0.6456,0.6887,0.6429,1,0.5714,0.8611,0.7933,0.035,0.112734864301,0.168461750898,0.067357512953,0.081462974438,0.055837563452,0.634730538922,0.111111111111,0.081481481481,0.0299520537658571,0.638888888889,0.0843342752448696,0.062992125984,0.09756097561,0.072815533981,0.105691056911,0.109594675492444,0.092050209205,0.0590409121584,0.643373494,0.3181818182,0.7995110024,0.5263157895,0.2486842105,0.1776315789,0.8960526316,85313.592798,23000,264.373701786748,722,38,11.1599998474121,33,264.373701786748,0.6456,43,2,65,4,0,4,0.7539,0.7539,0.5984,0.5984,0.8095,121,0.6685,0.2139,0.294733333333333,2,24814,46074167,39591720,1.16373239152024,1.01660735468564,147,0.361052631578947,0.145263157894737,69,0.18226002430134,1500,119325594,1,0.7368,0.0376,0,0.7313,0.041,0.1667,0.532033333333333,0.041,92,57631,12,0.0465,0.0078,92,0.7545,0.6452,102
"9","11",0,0.135,0,0,0,0.0608,0.1843,0,0.0501,0,0,"0","0","0","0","1",0.0172,11568,10355,210.8,30400,11157,0.8609,0.8591,0.8165,0.6154,0.5,0.875,0.6667,0.9596,0.02,0.0455377443321,0.168461750898,0.100695222510593,0.081462974438,0.191616766467,0.833333333333,0.114931482363424,0.055555555556,0.0299520537658571,0.728658829825833,0.0843342752448696,0.102263554769342,0.116067203493447,0.0468862349664348,0.133694167046056,0.109594675492444,0.105777682876778,0.0590409121584,0.778250280692537,0.49545289743,0.84700622360339,0.57869048222,0.2127659574,0.188449848,0.756330841805634,102120.223994717,18139.987012987,193.55458449375,623.018867924528,34.3255813953488,11.1400003433227,44.3,193.55458449375,0.8591,29,4,25,0,0.335272941176471,0,0.9361,0.9361,0.8258,0.8258,0.8772,16,0.8307,0.0125,0.294733333333333,2,25452.5915492958,101986,101342,1.00635471966213,0.71499367180161,115,0.361052631578947,0.145263157894737,46.9333333333333,0.16959064327485,2478,766909737,0.428943037974684,0.8968,0.0159,0,0.8968,0.0159,0.358239130434783,0.532033333333333,0.0159,12,54256,10,0.0314,0.0269,12,0.163,0.8795,25
"10","41",0,0.1108,0,0,0.0412,0.0265,0.0648,0.0186,0,0,0.2237,"0","0","0","0","0",0.0311,13947.7052631579,14325.0757894737,210.8,28697,9380,0.9902,0.9286,0.8671,0.8022,0.6667,0.8529,0.824,0.9394,0.00958969072164949,0.0455377443321,0.168461750898,0.100695222510593,0.081462974438,0.0729962283011695,0.743818144454466,0.114931482363424,0.0718237027245205,0.0299520537658571,0.728658829825833,0.0843342752448696,0.102263554769342,0.116067203493447,0.0468862349664348,0.133694167046056,0.109594675492444,0.105777682876778,0.0590409121584,0.778250280692537,0.49545289743,0.84700622360339,0.57869048222,0.207436415886458,0.14590386805567,0.756330841805634,102120.223994717,18139.987012987,235.029388055148,623.018867924528,34.3255813953488,11.16257728498,44.3,235.029388055148,0.9286,54,3,143.478260869565,0,0.335272941176471,0,0.9303,0.9303,0.8597,0.8597,0.799002268041237,110.332644628099,0.8526,0.0984311111111111,0.294733333333333,4,25452.5915492958,10814350.3617021,10339970.5957447,1.02234227386441,0.71499367180161,166.287197231834,0.361052631578947,0.145263157894737,46.9333333333333,0.156148917608864,1923.83290488432,123956038,0.428943037974684,0.810063917525773,0.0561061855670103,0.00231444444444444,0.809728865979381,0.0564443298969072,0.358239130434783,0.532033333333333,0.0564443298969072,58.5316455696203,66251.0652173913,7,0,0.0047,58.5696202531646,0.1623,0.7854,28
